Date;SP500;FTSE100;DAX30;CAC40;TOPIX
27.12.1972;0,540240563;0;0,267441484;0;2,316920799
28.12.1972;0;0;-0,322863617;0;0,436600207
29.12.1972;0,953279838;0;-0,889092733;0;0
01.01.1973;0;0;0;0;0
02.01.1973;0,885521283;0;1,676889699;0;0
03.01.1973;0,393849757;0;1,280655818;0;0
04.01.1973;-0,142277297;0;0,663902853;0;0,551129719
05.01.1973;0,392862126;0;0,233481311;0;0,717856922
08.01.1973;-0,016686134;0;-0,346826351;0;0,900488136
09.01.1973;-0,100175315;0;0,026998569;0;-0,476150679
10.01.1973;-0,250878205;0;-0,369612869;0;-0,227888213
11.01.1973;0,675931976;0;0,054175095;0;-0,287437705
12.01.1973;-0,784841634;0;0,843143483;0;0,500639114
15.01.1973;-0,723482587;0;0,186006635;0;0
16.01.1973;-0,253614135;0;-0,807338568;0;-0,939528296
17.01.1973;0,456043354;0;-0,007205649;0;0,812152226
18.01.1973;0,143139838;0;1,192643472;0;0,271702714
19.01.1973;-0,058915122;0;1,570134958;0;0,261214674
22.01.1973;-0,481033883;0;0,442374151;0;0,948771418
23.01.1973;0,008459163;0;-1,635834061;0;0,863266275
24.01.1973;-1,268371973;0;1,700365382;0;1,147440399
25.01.1973;0;0;-0,019180638;0;-0,151601318
26.01.1973;-0,240157933;0;-0,840576538;0;-1,79392024
29.01.1973;-0,378560204;0;-0,656341677;0;1,166124019
30.01.1973;-0,155279534;0;-1,125047469;0;-2,206902952
31.01.1973;0,172517942;0;-0,087757794;0;-1,39735332
01.02.1973;-1,100578725;0;0,153972888;0;-2,20789326
02.02.1973;-0,357907064;0;-1,792450585;0;-4,371998615
05.02.1973;-0,104996072;0;-2,809386238;0;0,86259575
06.02.1973;0,192408665;0;0,125429425;0;-1,198597124
07.02.1973;-0,692651053;0;1,818720703;0;-1,737593504
08.02.1973;-0,440878944;0;0,212887085;0;1,150192982
09.02.1973;1,334289458;0;-1,684223093;0;-1,010069004
12.02.1973;1,196165775;0;1,350008003;0;2,286772259
13.02.1973;0,618452409;0;1,263028461;0;0,299590259
14.02.1973;-1,449050713;0;-0,785919564;0;-0,157567196
15.02.1973;-0,566326933;0;-1,32313138;0;2,62241227
16.02.1973;0,46201538;0;0,674810056;0;0,538740755
19.02.1973;0;0;-1,331794952;0;1,119225701
20.02.1973;0,364615388;0;1,468052315;0;1,328233442
21.02.1973;-0,61715177;0;0,702271967;0;-0,082033439
22.02.1973;-0,218216819;0;0,331995927;0;-0,358753717
23.02.1973;-1,124792175;0;-1,205540231;0;-0,985699156
26.02.1973;-0,860888388;0;0,219102504;0;-1,595562305
27.02.1973;-1,15649682;0;0,491689979;0;1,112976126
28.02.1973;0,700874466;0;-0,580009702;0;-1,025937235
01.03.1973;-0,565708867;0;-0,537114722;0;0,168741891
02.03.1973;1,101520115;0;-0,378261562;0;-1,700370728
05.03.1973;0,355619151;0;0,845401141;0;-3,937662615
06.03.1973;1,252331386;0;0,062611644;0;1,408946488
07.03.1973;0,306278953;0;0,80492555;0;0,896700443
08.03.1973;-0,192408665;0;0,575415394;0;0,142517839
09.03.1973;-0,385931538;0;0,074416244;0;0,620483127
12.03.1973;0,061497915;0;0,699701821;0;-0,020970406
13.03.1973;0,543051173;0;0,641148717;0;0,655859996
14.03.1973;0,435806495;0;1,492565022;0;1,069889099
15.03.1973;-0,750767385;0;-0,882186728;0;0,472996435
16.03.1973;-0,50953286;0;1,392347039;0;-0,514232486
19.03.1973;-1,213962009;0;0,469155682;0;0,373081957
20.03.1973;-0,196323461;0;-0,215048206;0;0,046216654
21.03.1973;-1,312732392;0;0,6437622;0;0
22.03.1973;-1,504610521;0;0,701830231;0;-0,298216068
23.03.1973;0,036744443;0;0,327563909;0;-0,557679851
26.03.1973;0,877840312;0;-1,055482685;0;-0,049204315
27.03.1973;1,55378013;0;-1,493114327;0;0,328432999
28.03.1973;0,05376826;0;1,149851604;0;0,175411488
29.03.1973;0,971790289;0;0,200524919;0;0,834140223
30.03.1973;-1,061420124;0;-0,272113758;0;1,042470666
02.04.1973;-1,208855497;0;-0,22907915;0;-0,866268167
03.04.1973;-0,856809544;0;-0,501957984;0;-0,301520607
04.04.1973;-0,43117355;0;-1,344465779;0;-0,951384101
05.04.1973;-0,230107332;0;0,515831809;0;-1,101481495
06.04.1973;0,697890803;0;0,671914826;0;0,010448229
09.04.1973;1,435474817;0;-0,783748826;0;-0,707717037
10.04.1973;1,210397169;0;0,25189377;0;-1,092328929
11.04.1973;0,417982733;0;0,268931514;0;-0,178336198
12.04.1973;-0,088786297;0;0,387966487;0;-1,863483117
13.04.1973;-0,445117801;0;-0,940767327;0;-1,130048056
16.04.1973;-0,572657256;0;-0,225896344;0;-3,736348036
17.04.1973;-0,449681484;0;-1,185841288;0;0,534289502
18.04.1973;0,539375633;0;0,147652;0;2,020214044
19.04.1973;0,56323067;0;0,852822512;0;0,002777662
20.04.1973;0;0;0;0;-1,010588987
23.04.1973;-0,536338105;0;0;0;-2,727661604
24.04.1973;-1,426274404;0;-1,000474512;0;-1,005586971
25.04.1973;-1,511502234;0;-1,5947737;0;-0,945211515
26.04.1973;0,506376813;0;-0,565523054;0;2,152434687
27.04.1973;-1,536213813;0;0,53256085;0;1,343414705
30.04.1973;-0,242763891;0;-0,635727713;0;0
01.05.1973;0,121455614;0;0;0;0,325977867
02.05.1973;1,234182603;0;-1,854781613;0;0,248728223
03.05.1973;1,637356497;0;-0,918657722;0;0
04.05.1973;0,705183286;0;-0,296065958;0;0,927259447
07.05.1973;-0,424322399;0;-2,180870556;0;0,256983382
08.05.1973;0,649294372;0;1,277787657;0;0,005579267
09.05.1973;-0,730753398;0;-1,002321421;0;-0,61278645
10.05.1973;-0,818260771;0;-0,376531315;0;0,724306479
11.05.1973;-1,258571571;0;0,036939468;0;0,815877982
14.05.1973;-2,120881103;0;-1,883701337;0;1,644683748
15.05.1973;0,630679363;0;-2,310330475;0;-1,399007117
16.05.1973;-0,131455418;0;1,154824043;0;0,861979643
17.05.1973;-0,820798042;0;-0,544511537;0;-0,123076939
18.05.1973;-1,623567322;0;-1,169319542;0;0,766078364
21.05.1973;-1,093965119;0;-1,619335469;0;-1,960927807
22.05.1973;0,824007377;0;1,163725892;0;0,066448865
23.05.1973;0,471948865;0;0,856379102;0;-0,577362399
24.05.1973;2,90726408;0;0,376923056;0;-0,858302374
25.05.1973;0,743912674;0;1,048288792;0;0,679979674
28.05.1973;0;0;-0,664721147;0;-0,013944862
29.05.1973;-0,399165069;0;-2,097195869;0;0,061342853
30.05.1973;-1,499418964;0;-0,053512258;0;0,022297166
31.05.1973;-0,910563059;0;0;0;-0,685116143
01.06.1973;-0,976645067;0;-1,71512271;0;-0,154448859
04.06.1973;-0,927991193;0;1,537916342;0;-0,713553434
05.06.1973;1,589705427;0;-0,614406302;0;0,56730935
06.06.1973;-0,296750325;0;0,943841619;0;0,608876865
07.06.1973;1,456128512;0;-0,368627949;0;0,582945658
08.06.1973;1,118064919;0;-0,421775803;0;0,241663428
11.06.1973;-0,308801069;0;0;0;-0,008323507
12.06.1973;1,479165533;0;0,69785971;0;-0,548099028
13.06.1973;-0,639216591;0;0,709368236;0;0,467602722
14.06.1973;-1,121507082;0;-0,44840829;0;-0,565295779
15.06.1973;-1,229329902;0;-0,390665656;0;-0,226456336
18.06.1973;-1,437494806;0;1,640771155;0;-0,631749514
19.06.1973;0,375741085;0;0,722914178;0;0,213837621
20.06.1973;0,431800316;0;1,166188143;0;0,4990478
21.06.1973;-1,184699625;0;0;0;0,290429984
22.06.1973;0,473636766;0;0,081503647;0;0,90495843
25.06.1973;-1,408132031;0;-0,703912296;0;0,077345934
26.06.1973;1,02165812;0;-2,105170612;0;-0,703837975
27.06.1973;0,309298526;0;-0,321375846;0;0,49099254
28.06.1973;1,027324094;0;-1,142351124;0;0,060859223
29.06.1973;-0,411582299;0;-1,546530301;0;-0,1549873
02.07.1973;-1,31301365;0;0,69471688;0;0,298689309
03.07.1973;-1,006015224;0;-0,046025105;0;0,545290657
04.07.1973;0;0;-1,522336897;0;0,73881852
05.07.1973;-0,088386944;0;0,087071946;0;-0,281201982
06.07.1973;-0,492466276;0;-1,142186391;0;0,051931725
09.07.1973;0,845546282;0;-1,789475827;0;0,422649136
10.07.1973;1,342040953;0;1,404392473;0;0,255448805
11.07.1973;2,178568867;0;1,669395073;0;1,275585976
12.07.1973;-0,283956651;0;-0,71906024;0;0,808662115
13.07.1973;-1,345504339;0;1,222296385;0;0,445564986
16.07.1973;1,506512093;0;-1,925061045;0;0,535755626
17.07.1973;0,047305928;0;-1,472876374;0;0,210349257
18.07.1973;0,594145191;0;-1,191914456;0;0,028888451
19.07.1973;0,18788169;0;0,557116773;0;0,220327958
20.07.1973;0,552203191;0;-0,853452601;0;0,585178921
23.07.1973;0,354048632;0;-0,84292965;0;-0,271264414
24.07.1973;0,574980718;0;-0,692540617;0;-0,039185465
25.07.1973;1,377558748;0;-0,604558575;0;0,372944999
26.07.1973;0,19135274;0;-3,057864512;0;0,609876671
27.07.1973;-0,236966936;0;0,984291903;0;0,093100245
30.07.1973;-0,31072955;0;2,073572609;0;-0,313264809
31.07.1973;-0,947264176;0;1,55362112;0;-0,943108283
01.08.1973;-1,292740626;0;-0,399567481;0;-1,317437968
02.08.1973;-0,149882932;0;1,207204443;0;0,692501578
03.08.1973;-0,168887261;0;2,259267149;0;-0,520249942
06.08.1973;0,22511969;0;-1,578745214;0;-0,602851419
07.08.1973;-0,168792238;0;-1,265629987;0;0,284616293
08.08.1973;-0,942958425;0;1,688343205;0;-0,061110892
09.08.1973;0,056828946;0;-0,089649825;0;-0,055829535
10.08.1973;-0,798559239;0;0,723645783;0;-0,693817161
13.08.1973;-1,016892876;0;-0,568449407;0;-0,36215886
14.08.1973;-0,968905942;0;-0,831245397;0;0,311267592
15.08.1973;0,291658772;0;-0,434816881;0;-0,126000312
16.08.1973;-0,701415443;0;0,90940745;0;-0,726923482
17.08.1973;0,019550342;0;-0,540684424;0;-0,379013936
20.08.1973;-0,686546439;0;-0,459456089;0;-0,127563154
21.08.1973;-0,711114108;0;-0,952112725;0;1,067044175
22.08.1973;-0,3574624;0;0,082667714;0;0,024180223
23.08.1973;1,363388042;0;-0,015634597;0;-0,5009167
24.08.1973;-0,284970468;0;-0,935813205;0;-0,508865626
27.08.1973;0,784163987;0;-0,547128945;0;0,035270976
28.08.1973;0,58411381;0;1,757309104;0;-0,032557383
29.08.1973;0,975617495;0;-0,681726844;0;0,389990745
30.08.1973;-0,144293229;0;0,107596791;0;0,148554324
31.08.1973;0,355547388;0;0,574130052;0;-0,024293793
03.09.1973;0;0;0,683748168;0;-0,690788211
04.09.1973;0,249089993;0;1,161371491;0;-0,788705733
05.09.1973;0,12431271;0;-0,955830659;0;-1,607458591
06.09.1973;0,486201444;0;-0,278576346;0;-0,620027122
07.09.1973;-0,371588251;0;0,039844166;0;0,279767416
10.09.1973;-0,872446932;0;-1,15749762;0;0,184218658
11.09.1973;-0,60849176;0;-0,134423679;0;-1,727042053
12.09.1973;-0,155128982;0;0,168001384;0;0,816607864
13.09.1973;0,290669713;0;-1,197834829;0;-0,488032902
14.09.1973;1,03947038;0;-1,111527479;0;0,426102937
17.09.1973;-0,278057612;0;-0,871861149;0;-0,335651238
18.09.1973;-0,365525609;0;0,18928033;0;-1,033747704
19.09.1973;2,012946574;0;0,290148962;0;-0,647251451
20.09.1973;0,827694718;0;-0,428611588;0;-1,301386249
21.09.1973;0,41129241;0;-0,24740183;0;-1,071093907
24.09.1973;0,149142459;0;-0,224810339;0;0
25.09.1973;0,640640973;0;0,765065156;0;1,021596883
26.09.1973;0,719294876;0;0,144955906;0;0,476481915
